Date,Closing Price,Ln Price,Ln Return
1/2/2015,2058.199951,7.62958707,-0.000340021
1/5/2015,2020.579956,7.611139856,-0.018447213
1/6/2015,2002.609985,7.602206601,-0.008933255
1/7/2015,2025.900024,7.613769337,0.011562736
1/8/2015,2062.139893,7.631499506,0.017730169
1/9/2015,2044.810059,7.623060183,-0.008439322
1/12/2015,2028.26001,7.614933567,-0.008126617
1/13/2015,2023.030029,7.612351681,-0.002581886
1/14/2015,2011.27002,7.606521652,-0.005830029
1/15/2015,1992.670044,7.597230749,-0.009290903
1/16/2015,2019.420044,7.610565642,0.013334893
1/20/2015,2022.550049,7.612114395,0.001548752
1/21/2015,2032.119995,7.61683486,0.004720465
1/22/2015,2063.149902,7.631989173,0.015154313
1/23/2015,2051.820068,7.626482516,-0.005506656
1/26/2015,2057.090088,7.629047685,0.002565168
1/27/2015,2029.550049,7.615569397,-0.013478288
1/28/2015,2002.160034,7.601981894,-0.013587503
1/29/2015,2021.25,7.611471411,0.009489517
1/30/2015,1994.98999,7.598394312,-0.013077099
2/2/2015,2020.849976,7.611273482,0.01287917
2/3/2015,2050.030029,7.62560972,0.014336238
2/4/2015,2041.51001,7.621445014,-0.004164706
2/5/2015,2062.52002,7.631683825,0.010238811
2/6/2015,2055.469971,7.628259797,-0.003424028
2/9/2015,2046.73999,7.624003558,-0.00425624
2/10/2015,2068.590088,7.634622537,0.01061898
2/11/2015,2068.530029,7.634593503,-2.90342E-05
2/12/2015,2088.47998,7.644191798,0.009598295
2/13/2015,2096.98999,7.648258257,0.004066459
2/17/2015,2100.340088,7.649854557,0.0015963
2/18/2015,2099.679932,7.649540199,-0.000314359
2/19/2015,2097.449951,7.648477577,-0.001062622
2/20/2015,2110.300049,7.65458542,0.006107843
2/23/2015,2109.659912,7.654282034,-0.000303385
2/24/2015,2115.47998,7.657037007,0.002754972
2/25/2015,2113.860107,7.65627099,-0.000766017
2/26/2015,2110.73999,7.654793871,-0.001477119
2/27/2015,2104.5,7.651833188,-0.002960683
3/2/2015,2117.389893,7.657939427,0.006106238
3/3/2015,2107.780029,7.653390554,-0.004548873
3/4/2015,2098.530029,7.648992392,-0.004398161
3/5/2015,2101.040039,7.650187758,0.001195365
3/6/2015,2071.26001,7.635912402,-0.014275356
3/9/2015,2079.429932,7.639849064,0.003936662
3/10/2015,2044.160034,7.622742243,-0.017106821
3/11/2015,2040.23999,7.620822722,-0.001919521
3/12/2015,2065.949951,7.633345424,0.012522702
3/13/2015,2053.399902,7.627252187,-0.006093237
3/16/2015,2081.189941,7.640695096,0.013442909
3/17/2015,2074.280029,7.637369398,-0.003325698
3/18/2015,2099.5,7.6494545,0.012085102
3/19/2015,2089.27002,7.644570011,-0.004884489
3/20/2015,2108.100098,7.653542393,0.008972382
3/23/2015,2104.419922,7.651795137,-0.001747257
3/24/2015,2091.5,7.645636791,-0.006158346
3/25/2015,2061.050049,7.630970864,-0.014665926
3/26/2015,2056.149902,7.628590533,-0.002380331
3/27/2015,2061.02002,7.630956295,0.002365761
3/30/2015,2086.23999,7.643118677,0.012162382
3/31/2015,2067.889893,7.634283991,-0.008834686
4/1/2015,2059.689941,7.630310736,-0.003973255
4/2/2015,2066.959961,7.633834189,0.003523453
4/6/2015,2080.620117,7.640421261,0.006587073
4/7/2015,2076.330078,7.638357229,-0.002064033
4/8/2015,2081.899902,7.64103617,0.002678941
4/9/2015,2091.179932,7.645483746,0.004447576
4/10/2015,2102.060059,7.650673123,0.005189377
4/13/2015,2092.429932,7.646081316,-0.004591807
4/14/2015,2095.840088,7.647709749,0.001628432
4/15/2015,2106.629883,7.652844738,0.005134989
4/16/2015,2104.98999,7.652065991,-0.000778747
